AvgAnnualTemperature,CO2Concentration,GlacierArea,SolarRadiation,GlacierSlope,Elevation,WindSpeed,Region,GlacierType,MeltRate
2.4835707650561636,403.2482172502562,73.01018913484417,224.63448490643745,21.914736362363485,2473.0511594876525,5.364560447075739,Andes,Piedmont,-4.14
-0.6913215058559232,408.5548132928448,13.267753009326889,114.88568368770314,25.68601449135509,1182.20062386141,2.3716009407537815,Alps,Ice Cap,-4.59
3.2384426905034625,402.0758007900004,145.8829778091714,200.73835224748893,19.799955438399095,2200.9084461655457,5.277270057060902,Arctic,Piedmont,-4.7
7.615149282040127,406.9203847036096,77.94255949072664,136.52502605062023,34.631194686426895,3124.437690176622,5.996223991289083,Andes,Piedmont,-4.21
-1.1707668736166799,391.06385333046217,92.3208435256922,214.79503500634837,36.36748716928318,2632.887290352928,6.032326045852939,Rockies,Cirque,-9.87
-1.1706847847459028,412.1329370737294,35.873162514772346,227.4809224522367,35.531407608126365,2095.3700763970364,7.1308494471951605,Arctic,Piedmont,-2.44
7.896064077536957,410.01205475362224,72.78296372346718,211.34185131057077,33.90446899337798,1525.2929990572698,3.4503956437289416,Rockies,Valley,-3.63
3.837173645764544,401.8291136893181,64.65784904776912,247.65910209566152,13.180173547711833,4276.658000384919,3.934786486653007,Rockies,Ice Cap,-2.64
-2.3473719296747606,416.5924566843241,11.696928379296569,167.12184884818026,18.51879916961915,4984.580968496768,8.79101469198271,Himalayas,Piedmont,-0.52
2.712800217929823,419.37570137626557,16.370972855346352,253.0213183266262,23.793817399347,2318.1685340955282,4.6993432524725804,Arctic,Ice Cap,-2.53
-2.3170884640623113,393.9244013563103,125.7021416830068,186.55341634163875,18.231719657106225,2526.4841767064154,5.400067574624656,Andes,Piedmont,-6.46
-2.328648767851284,402.3727522143379,36.353082854885244,196.83689966451936,35.197608006333155,3472.1500987078284,4.865979916549558,Arctic,Ice Cap,-5.12
1.2098113578301706,402.30857650212704,29.646261589045267,229.62042545221428,18.174140969998188,3873.765898942165,3.3566383473899553,Arctic,Ice Cap,-3.2
-9.56640122328899,400.60096898891135,75.98426196189583,103.67167679984479,10.529283471413486,2568.1181392143653,8.247058421783613,Rockies,Ice Cap,-2.38
-8.624589162565163,418.2947484193175,115.42769613869568,230.79884428404966,20.961618081932162,4619.718067927261,3.944597176158789,Rockies,Piedmont,-4.47
